train_loss,train_acc_step,epoch,step,val_acc_step,val_loss,val_acc_epoch,train_acc_epoch,test_acc_step,test_loss,test_acc_epoch
,,,562,0.53125,,,,,,
,,,563,0.6875,,,,,,
,,,564,0.5625,,,,,,
,,,565,0.75,,,,,,
,,,566,0.6875,,,,,,
,,,567,0.8125,,,,,,
,,,568,0.71875,,,,,,
,,,569,0.84375,,,,,,
,,,570,0.6875,,,,,,
,,,571,0.5625,,,,,,
,,,572,0.65625,,,,,,
,,,573,0.90625,,,,,,
,,,574,0.625,,,,,,
,,,575,0.6875,,,,,,
,,,576,0.6875,,,,,,
,,,577,0.71875,,,,,,
,,,578,0.5625,,,,,,
,,,579,0.78125,,,,,,
,,,580,0.71875,,,,,,
,,,581,0.8125,,,,,,
,,,582,0.5625,,,,,,
,,,583,0.78125,,,,,,
,,,584,0.75,,,,,,
,,,585,0.8125,,,,,,
,,,586,0.6875,,,,,,
,,,587,0.71875,,,,,,
,,,588,0.6875,,,,,,
,,,589,0.71875,,,,,,
,,,590,0.71875,,,,,,
,,,591,0.65625,,,,,,
,,,592,0.8125,,,,,,
,,,593,0.65625,,,,,,
,,,594,0.78125,,,,,,
,,,595,0.78125,,,,,,
,,,596,0.65625,,,,,,
,,,597,0.59375,,,,,,
,,,598,0.59375,,,,,,
,,,599,0.78125,,,,,,
,,,600,0.625,,,,,,
,,,601,0.8125,,,,,,
,,,602,0.8125,,,,,,
,,,603,0.6875,,,,,,
,,,604,0.71875,,,,,,
,,,605,0.78125,,,,,,
,,,606,0.75,,,,,,
,,,607,0.78125,,,,,,
,,,608,0.75,,,,,,
,,,609,0.8125,,,,,,
,,,610,0.78125,,,,,,
,,,611,0.84375,,,,,,
,,,612,0.875,,,,,,
,,,613,0.75,,,,,,
,,,614,0.6875,,,,,,
,,,615,0.78125,,,,,,
,,,616,0.84375,,,,,,
,,,617,0.9375,,,,,,
,,,618,0.6875,,,,,,
,,,619,0.8125,,,,,,
,,,620,0.625,,,,,,
,,,621,0.6875,,,,,,
,,,622,0.84375,,,,,,
,,,623,0.75,,,,,,
,,,624,0.5,,,,,,
,,,625,0.90625,,,,,,
,,,626,0.84375,,,,,,
,,,627,0.625,,,,,,
,,3,5627,,0.7750458717346191,0.7329999804496765,,,,
,,3,5627,,,,0.7180666923522949,,,
0.6747720837593079,0.6875,4,5649,,,,,,,
0.6932929754257202,0.78125,4,5699,,,,,,,
1.0994305610656738,0.65625,4,5749,,,,,,,
0.6415738463401794,0.8125,4,5799,,,,,,,
1.246687889099121,0.5625,4,5849,,,,,,,
0.853773832321167,0.71875,4,5899,,,,,,,
0.87675541639328,0.625,4,5949,,,,,,,
0.8980244994163513,0.65625,4,5999,,,,,,,
0.6899881362915039,0.75,4,6049,,,,,,,
0.6405473947525024,0.75,4,6099,,,,,,,
0.6742738485336304,0.8125,4,6149,,,,,,,
0.471878319978714,0.78125,4,6199,,,,,,,
0.6866633892059326,0.8125,4,6249,,,,,,,
0.6437816619873047,0.84375,4,6299,,,,,,,
0.8836825489997864,0.6875,4,6349,,,,,,,
0.5009983777999878,0.84375,4,6399,,,,,,,
1.1920186281204224,0.59375,4,6449,,,,,,,
0.49254104495048523,0.8125,4,6499,,,,,,,
0.7459579110145569,0.6875,4,6549,,,,,,,
1.047869324684143,0.65625,4,6599,,,,,,,
0.8585397601127625,0.6875,4,6649,,,,,,,
1.146188735961914,0.65625,4,6699,,,,,,,
0.6536585092544556,0.84375,4,6749,,,,,,,
1.0370296239852905,0.6875,4,6799,,,,,,,
0.8373173475265503,0.65625,4,6849,,,,,,,
0.8895437717437744,0.625,4,6899,,,,,,,
0.6240370273590088,0.71875,4,6949,,,,,,,
